,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
EcologicalConsumer,14.0,0.544433,191.90883,14.0,0.0,141.42842,17.0,0.0,111.01801,17.0,0.0,144.31216,16.0,0.544433,111.01801
EcologicalConsumer,16.0,0.544433,129.84991000000002,16.0,0.544433,129.84991000000002,14.0,0.0,173.44163999999998,15.0,0.0,157.26729,16.0,0.0,129.84991000000002
LazyConsumer,16.0,0.544433,96.42095,14.0,0.0,107.37783999999999,15.0,0.0,224.92888,16.0,0.0,96.42095,14.0,0.0,107.37783999999999
EcologicalConsumer,14.0,0.0,250.53941,14.0,0.0,99.62429,14.0,0.544433,250.53941,17.0,0.544433,106.25441000000001,17.0,0.0,149.48244
Consumer,13.0,0.544433,102.88343,15.0,0.0,177.55281000000002,16.0,0.0,233.23807999999997,13.0,0.0,135.24792,13.0,0.0,102.88343
Consumer,14.0,0.0,216.94468999999998,16.0,0.0,109.165016,14.0,0.0,126.491104,14.0,0.0,126.491104,16.0,0.544433,216.94468999999998
LazyConsumer,17.0,0.0,97.0,17.0,0.0,126.57014,17.0,0.0,97.0,17.0,0.544433,126.57014,14.0,0.544433,218.75328
Consumer,17.0,0.0,171.0263,16.0,0.544433,222.3196,14.0,0.0,281.76052999999996,14.0,0.0,281.76052999999996,14.0,0.0,87.05171
EcologicalConsumer,14.0,0.544433,155.97435,13.0,0.544433,255.6658,13.0,0.544433,255.6658,14.0,0.0,155.97435,15.0,0.544433,112.89375
LazyConsumer,16.0,0.0,126.66886000000001,16.0,0.0,96.84007,17.0,0.0,140.92906000000002,14.0,0.0,192.77448,14.0,0.0,96.84007
EcologicalConsumer,13.0,0.0,173.44163999999998,15.0,0.0,119.47385,14.0,0.0,116.34862,13.0,0.0,173.44163999999998,12.0,0.8843495000000001,116.34862
LazyConsumer,17.0,0.0,212.13203,14.0,0.0,270.02407999999997,15.0,0.0,114.52946999999999,14.0,0.544433,270.02407999999997,16.0,0.0,114.52946999999999
