,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
LazyConsumer,13.0,0.550854,108.37435,13.0,0.0,183.22118,14.0,0.550854,137.2953,13.0,0.0,108.37435,16.0,0.0,232.56181
Consumer,13.0,0.0,152.10852,13.0,0.0,114.93476,13.0,0.550854,152.10852,13.0,0.0,152.10852,14.0,0.0,119.77479
Consumer,14.0,0.0,167.91962,15.0,0.0,102.176315,14.0,0.550854,167.91962,16.0,0.0,216.48094,15.0,0.550854,102.176315
EcologicalConsumer,14.0,0.550854,129.00388,15.0,0.0,224.50166,12.0,0.550854,102.044106,13.0,0.550854,224.50166,13.0,0.550854,174.77414
EcologicalConsumer,16.0,0.0,329.68622,12.0,0.0,149.40215,15.0,0.0,270.38492,16.0,0.0,329.68622,12.0,0.0,149.40215
LazyConsumer,13.0,0.0,181.6948,14.0,0.0,136.35982,13.0,0.0,181.6948,13.0,0.0,181.6948,13.0,0.550854,109.041275
LazyConsumer,13.0,0.0,98.0,15.0,0.0,169.92056,14.0,0.0,124.02016,13.0,0.550854,169.92056,14.0,0.0,124.02016
Consumer,13.0,0.0,250.89041,14.0,0.550854,192.77448,13.0,0.0,250.89041,16.0,0.0,307.7028,12.0,0.0,138.03261
Consumer,13.0,0.550854,204.78769,13.0,0.550854,204.78769,14.0,0.0,150.07332,13.0,0.0,204.78769,12.0,0.0,104.21612
EcologicalConsumer,16.0,0.0,253.3081,13.0,0.0,105.3423,14.0,0.0,147.10541,15.0,0.0,199.7198,14.0,0.550854,147.10541
EcologicalConsumer,15.0,0.0,111.12605,14.0,0.0,111.0,13.0,0.0,141.44963,13.0,0.0,111.12605,14.0,0.0,111.0
EcologicalConsumer,17.0,0.0,139.2013,13.0,0.0,103.57606,15.0,0.550854,159.11317,12.0,0.0,103.57606,16.0,0.0,205.9126
LazyConsumer,13.0,0.0,155.42522,14.0,0.0,215.56438,13.0,0.0,155.42522,14.0,0.0,215.56438,13.0,0.0,155.42522
LazyConsumer,15.0,0.0,141.60509,16.0,0.0,181.95879,14.0,0.0,113.43721,14.0,0.0,113.43721,13.0,0.550854,115.45129
Consumer,12.0,0.550854,108.40664,16.0,0.0,268.26852,12.0,0.0,108.40664,17.0,0.0,103.69667,17.0,0.0,156.84706
EcologicalConsumer,16.0,0.0,224.50166,15.0,0.0,174.77414,12.0,0.0,102.044106,16.0,0.0,224.50166,15.0,0.0,174.77414
EcologicalConsumer,13.0,0.0,124.47088,13.0,0.0,118.96218,13.0,0.0,124.47088,13.0,0.0,118.96218,16.0,0.0,153.05228
LazyConsumer,13.0,0.0,184.83507,15.0,0.0,118.37652,14.0,0.550854,142.41138,13.0,0.0,184.83507,15.0,0.550854,118.37652
EcologicalConsumer,13.0,0.0,101.118744,16.0,0.0,120.34118,12.0,0.0,148.22281,14.0,0.0,110.47624,12.0,0.0,148.22281
LazyConsumer,13.0,0.0,118.37652,14.0,0.0,142.41138,11.0,1.0,184.83507,16.0,0.0,116.3615,17.0,0.0,245.65219
Consumer,14.0,0.0,101.20277,15.0,0.0,110.57124,16.0,0.0,142.90207,14.0,0.0,101.20277,14.0,0.0,101.20277
Consumer,16.0,0.0,170.88008,12.0,0.0,108.40664,13.0,0.0,129.2014,12.0,0.550854,108.40664,14.0,0.550854,101.71037
EcologicalConsumer,16.0,0.0,273.90692,13.0,0.0,219.18486,13.0,0.0,116.846054,13.0,0.550854,219.18486,14.0,0.0,164.3472
Consumer,16.0,0.0,293.4655,12.0,0.550854,123.32883,15.0,0.550854,236.16309,16.0,0.550854,293.4655,17.0,0.0,177.7892
LazyConsumer,13.0,0.0,148.6775,16.0,0.0,190.54134,17.0,0.0,156.46405,16.0,0.0,190.54134,12.0,0.0,113.88591
LazyConsumer,15.0,0.0,220.04546,13.0,0.0,169.92056,12.0,0.0,98.0,13.0,0.550854,169.92056,14.0,0.0,124.02016
