,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Consumer,16.0,0.0,97.67292,14.0,0.41354,268.66336,16.0,0.0,97.67292,17.0,0.0,117.273186,14.0,0.0,268.66336
Consumer,14.0,0.0,236.78049,14.0,0.0,134.4656,14.0,0.0,236.78049,14.0,0.0,301.264,14.0,0.41354,236.78049
Consumer,14.0,0.0,178.5301,14.0,0.0,152.10852,16.0,0.0,105.11898,14.0,0.41354,152.10852,16.0,0.41354,105.11898
Consumer,14.0,0.0,195.0,17.0,0.0,102.48902,18.0,0.0,104.40307,15.0,0.0,195.0,16.0,0.0,136.0294
EcologicalConsumer,16.0,0.0,153.00327,14.0,0.0,120.2539,15.0,0.0,174.61386,14.0,0.0,116.846054,16.0,0.0,153.00327
Consumer,14.0,0.41354,133.30417,15.0,0.0,94.36631,14.0,0.41354,198.11613,14.0,0.0,133.30417,14.0,0.0,198.11613
Consumer,14.0,0.0,124.42267,16.0,0.41354,225.88715,15.0,0.0,100.17984,16.0,0.0,225.88715,14.0,0.0,124.42267
LazyConsumer,15.0,0.0,226.9317,14.0,0.0,291.43268,14.0,0.41354,90.44888,17.0,0.0,125.80143,18.0,0.0,173.44164
EcologicalConsumer,18.0,0.0,119.85408,14.0,0.0,160.77625,15.0,0.0,99.724625,16.0,0.0,209.31316,17.0,0.0,160.77625
Consumer,14.0,0.0,205.42882,14.0,0.0,117.273186,14.0,0.0,205.42882,14.0,0.41354,117.273186,14.0,0.0,205.42882
EcologicalConsumer,15.0,0.0,99.724625,16.0,0.0,209.31316,14.0,0.41354,133.22162,16.0,0.0,209.31316,17.0,0.0,160.77625
EcologicalConsumer,14.0,0.0,184.22812,16.0,0.0,109.38464,14.0,0.0,184.22812,14.0,0.0,154.15576,16.0,0.0,109.38464
LazyConsumer,14.0,0.41354,167.43059,15.0,0.0,175.06856,17.0,0.0,131.72699,18.0,0.0,114.0,15.0,0.0,175.06856
Consumer,14.0,0.0,170.423,14.0,0.41354,116.03879,14.0,0.41354,115.76269,14.0,0.0,116.03879,15.0,0.41354,170.423
LazyConsumer,13.0,0.0,193.98196,15.0,0.0,96.79876,16.0,0.0,249.39326,13.0,0.0,314.3533,14.0,0.0,249.39326
EcologicalConsumer,14.0,0.0,99.62429,15.0,0.0,194.49422,14.0,0.0,99.62429,16.0,0.0,194.49422,14.0,0.41354,99.62429
EcologicalConsumer,16.0,0.0,100.84642,14.0,0.0,248.29417,16.0,0.41354,100.84642,15.0,0.0,185.73367,16.0,0.0,100.84642
Consumer,16.0,0.0,101.118744,15.0,0.0,150.33296,14.0,0.0,172.9046,16.0,0.0,101.118744,15.0,0.0,150.33296
LazyConsumer,16.0,0.0,196.10457,14.0,0.0,96.84007,14.0,0.0,259.21805,14.0,0.41354,96.84007,16.0,0.0,196.10457
EcologicalConsumer,11.0,1.0,141.01419,14.0,0.4652817,191.09422,13.0,0.0,141.01419,14.0,0.0,310.04837,13.0,0.0,141.01419
EcologicalConsumer,16.0,0.0,102.10779,17.0,0.0,138.22084,15.0,0.0,237.03375,15.0,0.0,301.01495,15.0,0.0,237.03375
Consumer,15.0,0.0,105.11898,16.0,0.0,178.5301,17.0,0.0,134.82582,15.0,0.0,105.11898,15.0,0.0,152.10852
EcologicalConsumer,17.0,0.0,111.233986,15.0,0.0,198.2448,16.0,0.0,95.07891,16.0,0.0,95.07891,14.0,0.41354,261.5645
Consumer,14.0,0.0,123.49089,14.0,0.0,269.26752,14.0,0.0,206.82843,15.0,0.41354,269.26752,14.0,0.0,123.49089
Consumer,11.0,1.0,102.48902,14.0,0.0,195.0,13.0,0.45544016,102.48902,13.0,0.45544016,104.40307,13.0,0.61542946,195.0
Consumer,13.0,0.0,112.89375,14.0,0.0,102.48902,13.0,0.0,143.01048,14.0,0.0,247.0,14.0,0.0,112.89375
Consumer,15.0,0.0,290.3188,16.0,0.0,226.77301,14.0,0.0,102.044106,16.0,0.0,226.77301,14.0,0.41354,102.044106
Consumer,14.0,0.41354,193.59752,14.0,0.0,112.89375,14.0,0.0,102.48902,16.0,0.0,247.0,14.0,0.0,102.48902
Consumer,14.0,0.41354,116.297035,14.0,0.0,92.779305,14.0,0.0,272.61694,14.0,0.0,208.85641,14.0,0.0,92.779305
LazyConsumer,14.0,0.0,107.70794,14.0,0.0,156.3106,14.0,0.0,145.24461,14.0,0.0,107.70794,14.0,0.41354,145.24461
EcologicalConsumer,14.0,0.0,133.14653,14.0,0.41354,167.91962,14.0,0.0,133.14653,14.0,0.41354,103.17461,16.0,0.0,216.48094
LazyConsumer,17.0,0.0,148.73466,15.0,0.0,108.157295,16.0,0.0,192.93782,15.0,0.41354,108.157295,14.0,0.0,192.93782
LazyConsumer,16.0,0.41354,263.70627,15.0,0.41354,328.87686,14.0,0.41354,103.768974,15.0,0.0,328.87686,17.0,0.0,153.63919
LazyConsumer,16.0,0.0,136.82104,17.0,0.0,125.53884,18.0,0.0,117.388245,16.0,0.0,136.82104,14.0,0.0,154.98709
Consumer,16.0,0.0,155.2192,14.0,0.0,214.03271,14.0,0.0,127.91403,14.0,0.0,214.03271,14.0,0.41354,127.91403
Consumer,13.0,0.0,98.15294,13.0,0.0,98.15294,14.0,0.0,120.34118,13.0,0.0,98.15294,14.0,0.0,120.34118
EcologicalConsumer,15.0,0.0,153.91231,16.0,0.0,104.316826,15.0,0.0,153.91231,17.0,0.0,127.91403,18.0,0.0,100.12991
EcologicalConsumer,16.0,0.0,232.41772,15.0,0.41354,97.16481,16.0,0.0,232.41772,17.0,0.0,180.06943,16.0,0.41354,232.41772
EcologicalConsumer,14.0,0.41354,141.01419,15.0,0.0,310.04837,16.0,0.0,98.762344,18.0,0.0,191.09422,15.0,0.0,310.04837
Consumer,18.0,0.0,117.72001,16.0,0.41354,200.55174,14.0,0.0,142.14429,16.0,0.0,200.55174,16.0,0.0,144.31216
EcologicalConsumer,14.0,0.25565487,226.75317,13.0,0.45544016,98.1835,14.0,0.0,226.75317,13.0,0.08496086,121.60592,15.0,0.0,105.68349
Consumer,13.0,0.61542946,109.12378,13.0,0.0,128.31601,15.0,0.0,232.49086,16.0,0.0,90.80198,13.0,0.0,109.12378
Consumer,14.0,0.41354,164.83022,16.0,0.0,117.18362,17.0,0.0,136.48444,14.0,0.0,175.88918,14.0,0.0,164.83022
EcologicalConsumer,16.0,0.0,98.1835,15.0,0.41354,227.63348,14.0,0.0,291.5476,16.0,0.41354,98.1835,15.0,0.0,227.63348
LazyConsumer,14.0,0.0,141.01419,14.0,0.0,196.22946,14.0,0.0,120.48651,14.0,0.0,141.01419,14.0,0.41354,196.22946
EcologicalConsumer,14.0,0.0,107.54069,14.0,0.0,93.14505,14.0,0.41354,93.14505,14.0,0.0,184.22812,15.0,0.41354,107.54069
Consumer,11.0,1.0,118.84864,13.0,0.45544016,118.84864,13.0,0.0,118.84864,14.0,0.0,255.81242,13.0,0.0,118.84864
EcologicalConsumer,15.0,0.0,133.14653,16.0,0.0,216.48094,17.0,0.0,167.91962,15.0,0.0,133.14653,16.0,0.0,216.48094
Consumer,17.0,0.0,118.84864,14.0,0.0,255.81242,16.0,0.0,110.054535,14.0,0.41354,255.81242,16.0,0.0,110.054535
EcologicalConsumer,14.0,0.41354,101.607086,14.0,0.0,101.118744,14.0,0.0,175.96591,14.0,0.0,101.607086,14.0,0.0,238.44705
LazyConsumer,15.0,0.0,314.3533,16.0,0.41354,249.39326,14.0,0.0,96.79876,16.0,0.0,249.39326,15.0,0.0,314.3533
Consumer,16.0,0.0,150.62868,13.0,0.0,122.380554,14.0,0.0,150.62868,13.0,0.0,207.19556,13.0,0.0,122.380554
EcologicalConsumer,14.0,0.0,101.607086,16.0,0.0,101.118744,18.0,0.0,130.59862,14.0,0.0,101.607086,15.0,0.0,238.44705
EcologicalConsumer,15.0,0.0,194.49422,17.0,0.0,111.94642,16.0,0.0,99.62429,14.0,0.0,257.3033,16.0,0.41354,99.62429
Consumer,16.0,0.0,97.50897,15.0,0.41354,180.60178,14.0,0.0,243.48306,16.0,0.41354,97.50897,14.0,0.0,243.48306
EcologicalConsumer,17.0,0.0,130.63307,17.0,0.0,130.63307,18.0,0.0,175.85506,16.0,0.0,227.63348,14.0,0.0,98.1835
Consumer,14.0,0.0,111.12605,16.0,0.0,252.54901,14.0,0.0,111.12605,17.0,0.0,198.64542,15.0,0.0,104.40307
LazyConsumer,14.0,0.0,192.93782,14.0,0.0,149.48244,16.0,0.0,108.157295,14.0,0.0,192.93782,14.0,0.0,149.48244
LazyConsumer,14.0,0.41354,196.81717,14.0,0.0,248.29417,14.0,0.0,196.81717,14.0,0.0,248.29417,14.0,0.41354,123.32883
Consumer,14.0,0.41354,225.39964,17.0,0.0,176.05113,18.0,0.0,132.40091,15.0,0.0,130.24976,16.0,0.0,105.04285
LazyConsumer,14.0,0.0,192.93782,14.0,0.0,149.48244,14.0,0.0,192.93782,14.0,0.0,149.48244,17.0,0.0,148.73466
Consumer,15.0,0.0,172.51376,16.0,0.0,106.677086,15.0,0.0,234.34163,16.0,0.0,106.677086,17.0,0.0,103.69667
Consumer,16.0,0.0,97.41663,17.0,0.0,122.1188,15.0,0.0,213.82469,16.0,0.0,97.41663,15.0,0.0,213.82469
LazyConsumer,14.0,0.0,149.48244,15.0,0.0,108.157295,14.0,0.0,149.48244,15.0,0.0,108.157295,14.0,0.41354,149.48244
Consumer,17.0,0.0,182.7813,14.0,0.0,110.57124,16.0,0.0,236.39374,15.0,0.41354,94.36631,14.0,0.41354,110.57124
