,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Consumer,12.0,0.0,143.40501,13.0,0.0,120.21647,14.0,0.0,102.88343,13.0,0.55946237,120.21647,14.0,0.0,102.88343
Consumer,16.0,0.0,117.61378,16.0,0.0,225.03555,16.0,0.55946237,94.19129,16.0,0.0,225.03555,15.0,0.55946237,94.19129
LazyConsumer,13.0,0.55946237,215.1116,16.0,0.0,111.39569,13.0,0.55946237,215.1116,16.0,0.0,151.43315,16.0,0.0,151.43315
EcologicalConsumer,16.0,0.0,92.779305,16.0,0.0,294.94406,14.0,0.0,123.69317,15.0,0.55946237,228.86896,15.0,0.0,169.81166
Consumer,16.0,0.0,192.50974,13.0,0.55946237,143.01048,13.0,0.0,97.71899,14.0,0.55946237,141.44963,16.0,0.0,192.50974
Consumer,14.0,0.0,218.17883,16.0,0.0,122.61321,14.0,0.0,218.17883,15.0,0.55946237,156.02884,14.0,0.55946237,110.788086
Consumer,16.0,0.0,103.44564,16.0,0.0,203.0591,16.0,0.0,103.44564,14.0,0.0,331.1027,16.0,0.0,103.44564
Consumer,13.0,0.0,280.9573,16.0,0.0,157.29272,16.0,0.0,157.29272,16.0,0.0,215.1883,15.0,0.0,280.9573
EcologicalConsumer,15.0,0.0,108.74741,16.0,0.0,133.30417,16.0,0.0,209.99524,15.0,0.0,108.74741,14.0,0.0,107.07941
Consumer,16.0,0.0,151.20847,16.0,0.55946237,90.79648,16.0,0.0,151.20847,16.0,0.0,151.20847,16.0,0.0,90.79648
EcologicalConsumer,14.0,0.0,93.00538,13.0,0.55946237,134.4656,14.0,0.0,93.00538,12.0,0.0,125.992065,15.0,0.0,91.706055
Consumer,16.0,0.0,218.23383,16.0,0.0,159.0,13.0,0.0,284.41696,16.0,0.0,218.23383,15.0,0.55946237,284.41696
LazyConsumer,13.0,0.55946237,171.14322,14.0,0.0,105.68822,13.0,0.0,171.14322,16.0,0.0,149.51254,14.0,0.55946237,105.68822
EcologicalConsumer,14.0,0.0,121.08262,15.0,0.55946237,92.22798,14.0,0.0,121.08262,15.0,0.55946237,92.22798,14.0,0.0,115.83177
EcologicalConsumer,16.0,0.55946237,87.36132,14.0,0.0,99.31767,16.0,0.0,184.22812,16.0,0.0,138.05795,13.0,0.55946237,184.22812
