,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
LazyConsumer,14.0,0.0,105.38501,14.0,0.0,230.76611,14.0,0.0,105.38501,14.0,0.0,230.76611,14.0,0.35687062,119.47385
LazyConsumer,18.0,0.0,111.364265,18.0,0.0,111.364265,18.0,0.0,220.71928,18.0,0.35687062,111.364265,16.0,0.0,122.61321
LazyConsumer,15.0,0.0,177.55281,15.0,0.0,136.82104,15.0,0.0,177.55281,17.0,0.0,102.0,14.0,0.0,177.55281
Consumer,15.0,0.0,99.40825,15.0,0.35687062,114.1096,15.0,0.35687062,99.40825,15.0,0.0,114.1096,15.0,0.0,99.40825
EcologicalConsumer,14.0,0.35687062,116.297035,16.0,0.0,174.1838,18.0,0.0,166.2077,14.0,0.0,116.297035,16.0,0.69185024,116.61904
EcologicalConsumer,14.0,0.0,116.1034,17.0,0.0,174.7484,15.0,0.0,287.6404,17.0,0.0,174.7484,14.0,0.0,116.1034
EcologicalConsumer,14.0,0.0,229.89563,14.0,0.35687062,166.97305,14.0,0.0,103.17461,14.0,0.0,229.89563,14.0,0.0,229.89563
Consumer,15.0,0.0,118.15244,16.0,0.0,172.46739,14.0,0.0,110.0,14.0,0.0,279.90176,14.0,0.35687062,110.0
EcologicalConsumer,16.0,0.0,161.27615,18.0,0.0,111.01801,18.0,0.35687062,211.98586,16.0,0.0,265.8007,16.0,0.35687062,110.47624
LazyConsumer,16.0,0.0,159.79048,15.0,0.0,128.35107,16.0,0.0,122.61321,15.0,0.0,159.79048,15.0,0.0,128.35107
Consumer,11.0,1.0,216.09258,11.0,1.0,216.09258,16.0,0.0,273.38617,14.0,0.0,331.04077,14.0,0.35687062,121.64292
EcologicalConsumer,14.0,0.0,116.297035,16.0,0.0,116.61904,14.0,0.0,116.297035,16.0,0.35687062,116.61904,16.0,0.0,174.1838
EcologicalConsumer,17.0,0.35687062,111.01801,15.0,0.0,187.0,14.0,0.35687062,98.681305,17.0,0.0,111.01801,14.0,0.0,98.681305
LazyConsumer,14.0,0.0,153.26448,15.0,0.0,124.08465,17.0,0.0,123.065025,15.0,0.0,124.08465,18.0,0.0,214.03271
Consumer,18.0,0.35687062,110.788086,15.0,0.0,147.27525,16.0,0.35687062,147.27525,17.0,0.0,99.40825,14.0,0.0,114.1096
LazyConsumer,16.0,0.35687062,115.80155,14.0,0.0,162.00308,16.0,0.0,115.80155,14.0,0.0,162.00308,16.0,0.0,115.80155
LazyConsumer,16.0,0.0,124.277916,16.0,0.35687062,148.49243,16.0,0.0,124.277916,16.0,0.35687062,136.56134,15.0,0.0,124.277916
Consumer,16.0,0.0,98.4124,15.0,0.0,182.13182,17.0,0.0,98.4124,15.0,0.0,139.81773,17.0,0.35687062,98.4124
EcologicalConsumer,14.0,0.35687062,120.06665,14.0,0.35687062,119.20151,14.0,0.0,120.06665,15.0,0.0,154.84186,14.0,0.0,120.06665
LazyConsumer,18.0,0.0,106.04244,14.0,0.0,113.15918,16.0,0.0,275.75714,14.0,0.35687062,113.15918,16.0,0.0,167.60072
LazyConsumer,18.0,0.0,105.546196,16.0,0.0,136.82104,14.0,0.0,177.55281,16.0,0.0,102.0,18.0,0.0,241.04979
EcologicalConsumer,18.0,0.0,120.06665,18.0,0.0,174.62245,18.0,0.0,174.62245,18.0,0.35687062,120.06665,16.0,0.35687062,154.84186
EcologicalConsumer,17.0,0.0,209.99524,14.0,0.0,147.61098,18.0,0.0,267.95895,18.0,0.0,267.95895,18.0,0.0,114.03947
EcologicalConsumer,15.0,0.0,161.27615,17.0,0.35687062,265.8007,16.0,0.35687062,161.27615,18.0,0.0,211.98586,18.0,0.0,111.01801
Consumer,17.0,0.0,99.40825,17.0,0.0,99.40825,17.0,0.0,99.40825,18.0,0.0,110.788086,15.0,0.0,114.1096
EcologicalConsumer,15.0,0.35687062,107.33592,14.0,0.0,166.97305,15.0,0.35687062,107.33592,14.0,0.0,229.89563,14.0,0.0,166.97305
LazyConsumer,17.0,0.0,183.3303,15.0,0.35687062,123.745705,17.0,0.0,183.3303,18.0,0.0,102.18121,17.0,0.0,183.3303
EcologicalConsumer,15.0,0.18935056,180.64883,15.0,0.18935056,180.64883,14.0,0.44336832,112.25417,14.0,0.0,243.01852,15.0,0.0,180.64883
