,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
LazyConsumer,15.0,0.0,157.20052,15.0,0.0,212.90373,14.0,0.0,339.37738,17.0,0.0,212.90373,17.0,0.0,277.06497
LazyConsumer,16.0,0.2252951,97.50897,15.0,0.4560645,140.58449,15.0,0.4560645,140.58449,16.0,0.0,196.8248,17.0,0.0,99.92497
Consumer,15.0,0.0,337.12015,17.0,0.0,156.02884,15.0,0.0,211.0853,15.0,0.0,337.12015,15.0,0.48782,211.0853
Consumer,15.0,0.0,272.61694,13.0,0.0,208.85641,16.0,0.0,154.30165,14.0,0.0,334.57437,16.0,0.0,112.76968
Consumer,14.0,0.0,114.03947,14.0,0.48782,214.03271,14.0,0.0,114.03947,14.0,0.0,214.03271,14.0,0.5472051,114.03947
Consumer,13.0,0.48782,86.0,14.0,0.0,218.75328,14.0,0.48782,86.0,14.0,0.48782,218.75328,14.0,0.48782,218.75328
Consumer,15.0,0.0,120.0,14.0,0.48782,162.74213,15.0,0.0,94.19129,15.0,0.48782,120.0,13.0,0.79762715,162.74213
LazyConsumer,15.0,0.0,101.4002,13.0,0.0,123.89108,15.0,0.48782,101.4002,13.0,0.0,123.89108,15.0,0.0,123.89108
EcologicalConsumer,13.0,0.0,189.0238,13.0,0.0,153.4829,13.0,0.0,104.13933,15.0,0.0,141.0319,16.0,0.0,113.31814
Consumer,15.0,0.0,304.54065,15.0,0.0,180.09998,17.0,0.0,128.7012,15.0,0.0,304.54065,15.0,0.0,180.09998
EcologicalConsumer,15.0,0.0,213.35886,17.0,0.48782,92.43917,15.0,0.0,213.35886,15.0,0.0,157.89236,15.0,0.48782,106.531685
Consumer,15.0,0.48782,86.0,15.0,0.48782,106.826965,14.0,0.0,218.75328,15.0,0.0,86.0,15.0,0.0,106.826965
EcologicalConsumer,13.0,0.0,111.516815,13.0,0.48782,222.56909,13.0,0.48782,111.39569,14.0,0.48782,111.516815,13.0,0.0,222.56909
Consumer,15.0,0.4560645,86.0,16.0,0.0,110.0,17.0,0.0,161.47136,14.0,0.48782,218.75328,14.0,0.48782,218.75328
Consumer,14.0,0.0,334.57437,16.0,0.0,112.76968,13.0,0.79762715,334.57437,17.0,0.0,272.61694,15.0,0.0,154.30165
EcologicalConsumer,15.0,0.0,130.86252,16.0,0.48782,243.07407,15.0,0.0,130.86252,15.0,0.0,130.86252,15.0,0.48782,183.69812
EcologicalConsumer,15.0,0.0,159.62456,15.0,0.0,215.56438,15.0,0.0,107.33592,15.0,0.0,107.33592,15.0,0.0,215.56438
LazyConsumer,13.0,0.0,128.68954,15.0,0.48782,177.7892,13.0,0.0,128.68954,15.0,0.48782,92.22798,15.0,0.0,177.7892
EcologicalConsumer,14.0,0.48782,92.43917,14.0,0.48782,213.35886,14.0,0.0,92.43917,14.0,0.0,106.531685,14.0,0.0,213.35886
LazyConsumer,15.0,0.0,117.61378,14.0,0.48782,103.227905,15.0,0.0,117.61378,17.0,0.0,93.193344,14.0,0.0,103.227905
LazyConsumer,14.0,0.0,96.93297,14.0,0.48782,137.90215,14.0,0.48782,137.36084,14.0,0.0,137.90215,16.0,0.0,192.50974
Consumer,15.0,0.0,161.27615,14.0,0.0,214.03271,11.0,1.0,114.03947,14.0,0.0,214.03271,13.0,0.0,114.03947
