,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
LazyConsumer,15.0,0.4463602,98.79271,15.0,0.0,132.13629,17.0,0.4463602,94.86833,18.0,0.0,187.82971,15.0,0.0,132.13629
LazyConsumer,14.0,0.4463602,114.03947,18.0,0.4463602,105.076164,14.0,0.0,114.03947,14.0,0.0,114.03947,18.0,0.0,175.5705
LazyConsumer,13.0,0.0,124.86793,15.0,0.4463602,108.0,13.0,0.0,124.86793,15.0,0.0,119.81653,18.0,0.0,165.60193
LazyConsumer,17.0,0.4463602,289.69812,18.0,0.0,122.41323,15.0,0.0,230.35841,17.0,0.0,289.69812,18.0,0.0,122.41323
LazyConsumer,14.0,0.0,132.13629,18.0,0.0,187.82971,18.0,0.0,187.82971,19.0,0.0,253.3081,14.0,0.0,98.79271
LazyConsumer,14.0,0.0,214.29419,14.0,0.0,277.3193,14.0,0.4463602,338.3637,14.0,0.0,214.29419,18.0,0.0,159.154
EcologicalConsumer,17.0,0.0,142.14429,16.0,0.0,101.51354,14.0,0.0,109.11004,16.0,0.0,101.51354,18.0,0.0,137.90215
EcologicalConsumer,13.0,0.0,139.38795,18.0,0.0,130.90837,15.0,0.0,93.92018,17.0,0.0,139.38795,15.0,0.0,93.92018
Consumer,16.0,0.4463602,208.54016,14.0,0.0,148.83884,13.0,0.4463602,267.5911,16.0,0.0,208.54016,14.0,0.4463602,148.83884
Consumer,13.0,0.0,256.84625,15.0,0.4463602,198.6001,13.0,0.4463602,256.84625,17.0,0.4463602,256.84625,18.0,0.0,100.84642
EcologicalConsumer,14.0,0.5470083,101.51354,16.0,0.0,133.79462,14.0,1.0,187.94946,14.0,0.0,187.94946,13.0,0.0,101.51354
LazyConsumer,17.0,0.0,243.48306,18.0,0.0,97.015465,15.0,0.0,130.13838,17.0,0.0,243.48306,16.0,0.0,130.13838
Consumer,13.0,0.0,150.98676,14.0,0.4463602,111.82576,14.0,0.0,94.72592,13.0,0.0,150.98676,14.0,0.0,94.72592
EcologicalConsumer,16.0,0.0,107.16809,16.0,0.4463602,108.226616,15.0,0.4463602,107.16809,15.0,0.0,90.04999,16.0,0.0,108.226616
EcologicalConsumer,16.0,0.4463602,103.46497,18.0,0.0,130.90837,14.0,0.4463602,93.92018,16.0,0.0,103.46497,13.0,0.0,139.38795
LazyConsumer,14.0,0.0,263.928,15.0,0.0,263.928,14.0,0.0,200.88306,18.0,0.0,146.1027,19.0,0.0,117.0
EcologicalConsumer,18.0,0.0,260.0,14.0,0.4463602,196.8248,18.0,0.0,260.0,14.0,0.4463602,196.8248,17.0,0.4463602,321.3098
EcologicalConsumer,11.0,1.0,110.0409,15.0,0.0,161.40013,13.0,0.0,115.66331,15.0,0.0,280.58865,13.0,0.6997169,115.66331
