,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
EcologicalConsumer,13.0,0.0,154.25304,13.0,0.0,133.66002,16.0,0.0,119.54079,13.0,0.0,154.25304,12.0,1.0,119.54079
LazyConsumer,16.0,0.0,174.61386,15.0,0.0,127.41271,16.0,0.5511315,174.61386,11.0,0.0,127.41271,9.0,1.0,286.22543
EcologicalConsumer,13.0,0.0,279.8607,12.0,1.0,174.82849,12.0,0.0,174.82849,12.0,0.0,279.8607,13.0,0.5511315,174.82849
LazyConsumer,15.0,0.0,268.33002,12.0,1.0,215.07674,15.0,0.0,162.65915,9.0,1.0,329.3038,16.0,0.5511315,215.07674
Consumer,15.0,0.644901,302.36734,15.0,0.0,146.6049,14.0,0.644901,242.87033,15.0,0.0,146.6049,15.0,0.0,302.36734
LazyConsumer,13.0,0.0,223.18153,15.0,0.0,129.84991,13.0,0.644901,223.18153,15.0,0.0,129.84991,15.0,0.0,282.7331
EcologicalConsumer,18.0,0.0,223.37636,14.0,0.0,93.193344,15.0,0.0,174.01149,15.0,0.0,107.33592,14.0,0.0,93.193344
LazyConsumer,12.0,0.644901,307.7028,15.0,0.0,247.87296,16.0,0.0,149.45903,12.0,0.0,307.7028,14.0,0.0,247.87296
EcologicalConsumer,12.0,0.644901,222.56909,12.0,0.5323639,222.56909,16.0,0.0,106.16968,14.0,0.5323639,166.41214,15.0,0.0,106.16968
LazyConsumer,14.0,0.0,166.2077,15.0,0.644901,101.4002,13.0,0.0,166.2077,15.0,0.644901,223.39427,15.0,0.0,101.4002
LazyConsumer,16.0,0.0,103.16007,16.0,0.0,159.11317,16.0,0.644901,103.16007,15.0,0.0,130.29965,13.0,0.0,122.56019
LazyConsumer,12.0,0.0,204.0,13.0,0.644901,151.64432,12.0,0.0,204.0,15.0,0.644901,114.424644,12.0,0.0,204.0
Consumer,13.0,0.0,210.53503,15.0,0.0,323.86725,13.0,0.0,210.53503,15.0,0.0,323.86725,13.0,0.644901,210.53503
LazyConsumer,15.0,0.0,105.11898,13.0,0.0,143.53397,16.0,0.0,110.02273,13.0,0.0,143.53397,16.0,0.0,110.02273
Consumer,15.0,0.0,162.00308,13.0,0.0,119.88744,15.0,0.0,162.00308,13.0,0.0,119.88744,15.0,0.0,162.00308
EcologicalConsumer,13.0,0.0,109.201645,17.0,0.0,98.79271,18.0,0.0,185.32135,13.0,0.0,109.201645,14.0,0.0,142.27087
LazyConsumer,15.0,0.0,150.60213,13.0,0.0,108.66462,16.0,0.644901,133.22162,13.0,0.0,108.66462,15.0,0.0,150.60213
EcologicalConsumer,15.0,0.0,260.5993,14.0,0.0,201.24612,15.0,0.0,113.63538,16.0,0.0,153.63919,13.0,0.0,201.24612
LazyConsumer,17.0,0.0,103.16007,17.0,0.0,103.16007,18.0,0.0,202.80533,13.0,0.0,122.56019,14.0,0.0,159.11317
EcologicalConsumer,15.0,0.0,154.25304,16.0,0.0,119.54079,18.0,0.0,197.09135,15.0,0.0,133.66002,13.0,0.0,154.25304
EcologicalConsumer,15.0,0.0,142.80057,13.0,0.0,102.0,15.0,0.644901,142.80057,15.0,0.0,132.90974,15.0,0.0,142.80057
Consumer,15.0,0.0,323.86725,14.0,0.0,263.15396,15.0,0.0,159.11317,16.0,0.0,210.53503,15.0,0.644901,159.11317
Consumer,13.0,0.0,294.73038,15.0,0.0,234.88295,13.0,0.0,138.22084,15.0,0.644901,234.88295,13.0,0.0,138.22084
Consumer,15.0,0.0,94.04786,16.0,0.0,172.26143,12.0,0.0,109.859,15.0,0.0,172.26143,13.0,0.644901,94.04786
LazyConsumer,15.0,0.0,193.99226,14.0,0.0,143.54442,15.0,0.0,193.99226,14.0,0.0,143.54442,15.0,0.0,117.881294
LazyConsumer,15.0,0.0,227.30817,15.0,0.644901,130.0,16.0,0.0,170.34377,15.0,0.0,130.0,16.0,0.0,104.69002
LazyConsumer,15.0,0.644901,227.30817,15.0,0.0,130.0,16.0,0.644901,104.69002,15.0,0.0,130.0,15.0,0.0,130.0
